firm_id,year,leverage,current_ratio,quick_ratio,roa,roe,gross_margin,interest_coverage,asset_turnover,cash_ratio,revenue_growth,stock_volatility,ln_market_cap,momentum_12m,turnover_rate,esg_score,env_score,soc_score,gov_score,credit_risk_score
4,2021,0.3739,2.4553,1.5786,0.0122,-0.0126,0.4642,11.5584,0.2904,0.935,0.1902,0.4405,23.7768,0.3147,3.2589,65.2039,61.2633,60.9859,72.4578,29.0863
4,2022,0.5233,1.8005,1.0953,0.1129,0.2412,0.3973,2.9541,0.5364,0.3174,0.2024,0.4939,24.0582,-0.0514,3.1669,61.0985,62.7516,60.9182,60.5936,32.9061
4,2023,0.4067,2.4635,1.9625,0.0643,0.1361,0.2515,3.8582,0.6403,1.1771,0.3419,0.2608,22.658,-0.5931,2.1369,55.9951,62.9037,59.9261,48.9274,32.7986
5,2020,0.7652,1.025,0.6146,0.0233,0.1056,0.3054,1.0664,0.8543,0.3085,-0.0922,0.5558,20.0847,0.0732,2.746,22.2371,31.1271,18.1619,25.6156,83.083
5,2021,0.4723,1.2323,0.973,0.0038,-0.0308,0.02,0.9808,0.3957,0.4575,0.0702,0.5906,21.2794,-0.3593,1.0848,33.1243,33.0182,36.0769,27.039,49.9748
5,2022,0.6032,0.9074,0.6589,0.0242,0.0272,0.347,0.5259,0.4442,0.2431,-0.1667,0.5061,20.4542,-0.004,3.4215,39.4239,42.5158,50.7511,35.4119,62.1719
5,2023,0.4949,1.4085,0.897,0.0058,0.0135,0.0838,1.2219,0.4242,0.4967,0.108,0.3989,19.197,0.277,2.9468,30.2169,,,36.1387,60.9862
6,2020,0.6125,1.4959,0.9638,-0.0389,-0.1241,0.2528,2.6443,0.4958,0.5479,0.0535,0.5672,19.9419,-0.0606,7.2924,21.0861,22.7123,15.1722,26.2961,80.4481
6,2021,0.4259,1.6546,1.094,0.0031,0.0081,0.2538,1.9182,0.3732,0.5499,-0.0982,0.3887,22.2792,0.1955,2.7285,45.6866,51.4467,53.2769,38.8804,50.9849
6,2022,0.7739,0.8757,0.6369,0.0238,0.1093,0.3201,2.6965,0.2316,0.3175,0.0358,0.4668,21.4779,-0.0093,1.6967,46.5655,47.4176,47.2921,37.0581,65.5887
6,2023,0.3195,2.0059,1.6928,-0.0061,-0.0188,0.176,1.2947,0.3616,0.7154,-0.0968,0.4912,20.2534,0.3278,2.6502,30.3749,38.2664,27.6507,33.0991,53.9372
7,2020,0.6569,1.8956,1.2236,0.0728,0.2485,0.1004,7.216,0.5382,0.3392,0.0254,0.4638,22.6598,-0.194,2.3074,37.736,45.4611,42.6736,29.5853,51.5792
7,2021,0.4636,1.9281,1.6052,0.0421,0.0902,0.2489,2.6615,0.5172,0.9626,0.1423,0.3715,22.4752,0.0454,3.3782,56.312,57.8027,55.8137,58.5206,28.0845
7,2022,0.5216,1.7521,1.0715,0.0273,0.0812,0.2605,1.0377,0.6844,0.2737,0.1285,0.365,23.0934,0.2186,2.7551,56.0196,61.1026,51.7046,53.7806,52.9951
7,2023,0.5913,1.9915,1.1628,0.0285,0.0882,0.1224,5.8025,0.7686,0.4923,-0.2389,0.4011,22.0037,0.0453,1.4478,47.2084,49.4725,42.5981,52.3971,54.2418
8,2020,0.5992,0.6998,0.4966,0.0144,0.0329,0.2527,4.247,0.4585,0.188,0.1153,0.5319,21.136,0.2878,1.1998,51.3087,41.2625,51.1855,53.1079,59.5733
8,2021,0.4175,1.6235,1.3685,0.0199,0.0303,0.1312,1.5596,0.291,0.7139,-0.0266,0.655,21.5743,-0.1412,3.1002,20.1175,20.8636,30.2953,18.4836,55.1112
8,2022,0.518,2.4246,1.6862,-0.0088,-0.0241,0.3468,8.1911,0.6449,0.8558,0.0138,0.291,22.6039,0.5807,5.4279,58.0365,47.432,,52.9142,45.6414
8,2023,0.6659,1.7635,1.3931,0.0351,0.1185,0.2803,2.7562,0.5467,0.6545,-0.1005,0.4228,23.4509,0.6164,2.8283,54.486,54.2667,56.1575,59.3226,52.9652
9,2020,0.343,1.9203,1.3284,-0.0191,-0.042,0.4496,5.1205,0.4949,0.3669,0.0649,0.34,21.3642,0.1094,4.0823,58.6934,55.9901,57.6412,45.4079,40.642
9,2021,0.7613,1.0088,0.8121,0.0086,0.0703,0.2271,7.7519,0.8942,0.2703,-0.044,0.5314,22.1281,0.1403,4.5105,51.6797,47.1255,53.7835,48.1846,61.2318
9,2022,0.5067,1.896,1.5051,0.0776,0.1424,0.3132,3.5504,0.6572,0.4259,0.3037,0.3504,23.2523,0.3391,3.1062,42.9014,51.1835,40.8427,37.0141,40.0891
9,2023,0.3998,1.7514,1.3238,0.0063,0.0148,0.2557,3.0428,0.5765,0.7845,-0.24,0.3712,22.7765,-0.255,1.809,69.283,69.3763,69.861,67.3992,37.4238
10,2020,0.3885,2.1245,1.5607,0.0388,0.0589,0.0884,2.1849,0.586,0.46,-0.139,0.4184,21.6103,-0.3508,2.9971,23.9299,22.8721,25.5944,,39.922
10,2021,0.4922,1.0478,0.7392,0.0949,0.1778,0.2022,5.3841,0.771,0.435,-0.165,0.4733,21.1175,0.2691,4.9706,46.6257,48.7101,42.8186,45.8214,46.4206
10,2022,0.2366,1.6714,1.399,0.0682,0.1328,0.3138,3.327,0.4165,0.405,0.0926,0.4798,21.085,0.0642,3.5429,27.8118,29.6828,,25.8025,37.4444
10,2023,0.4378,1.3656,0.9794,0.0281,0.0413,0.2994,9.3809,0.3859,0.5404,0.2564,0.4935,21.6771,-0.0623,3.9516,35.8436,27.7357,35.4229,40.2608,42.2115
11,2020,0.39,2.7352,1.781,0.0837,0.1311,0.2752,5.3822,0.4997,0.8034,0.1921,0.398,23.9819,0.0873,2.157,52.379,46.9728,51.5227,,26.9364
11,2021,0.245,2.2969,1.8712,0.0366,0.0352,0.2033,4.2729,0.3426,1.0125,-0.0626,0.2592,23.6028,-0.4594,2.4567,61.8639,67.3813,70.5866,54.5241,18.5875
11,2022,0.4575,2.0203,1.5112,0.0427,0.0794,0.4128,5.4603,0.5389,0.7132,0.0775,0.4035,23.4329,0.122,2.5616,82.5149,87.4903,73.53,82.8002,29.6825
11,2023,0.3657,1.3442,0.9644,0.0738,0.1143,0.3643,6.0645,0.5705,0.5006,-0.0191,0.3692,23.1303,-0.0638,2.6494,45.0698,,40.5753,48.4668,26.7069
12,2020,0.3268,1.7863,1.3481,0.0773,0.0924,0.3897,1.5121,0.5339,0.6818,0.2052,0.4791,23.4049,0.3336,4.8743,57.7789,69.5467,54.6847,52.7612,37.8497
12,2021,0.3636,2.3354,1.5289,0.0999,0.1485,0.2921,3.9853,0.4749,0.5215,0.0358,0.3266,23.0099,0.3576,0.8406,80.873,87.5975,78.7787,78.3878,19.7099
12,2022,0.4384,2.3122,1.5636,0.0568,0.1134,0.1765,4.5245,1.0631,0.9026,-0.1262,0.2437,23.9468,0.2712,2.7601,57.0234,,60.8418,57.3305,34.6853
12,2023,0.444,1.6243,0.9887,0.0586,0.1259,0.341,4.8219,0.7995,0.4699,0.1982,0.4043,23.2027,0.1696,2.6124,61.696,63.6196,57.6203,57.0332,35.6125
13,2020,0.352,1.714,1.3824,0.0532,0.0826,0.2849,12.463,0.5279,0.4434,0.3132,0.5179,23.3381,-0.3151,1.3692,49.0456,43.4623,52.563,52.4269,36.3731
13,2021,0.4694,2.5053,1.8782,0.0395,0.0757,0.4027,3.6963,0.5696,0.6707,0.0453,0.4354,23.5826,0.1936,3.8034,63.9961,71.8702,53.274,59.9943,44.9441
13,2022,0.4062,3.1172,2.4853,0.0614,0.0962,0.3136,1.5787,0.9517,1.085,0.1327,0.373,23.9791,0.257,1.8922,63.8047,63.6869,53.6365,65.9692,33.5735
13,2023,0.301,2.4428,1.5761,0.0198,0.0182,0.2766,2.1352,0.4344,0.8805,-0.1904,0.3497,21.7678,0.3624,2.2739,42.1192,43.7801,47.3067,28.5647,43.5496
14,2020,0.3148,3.0742,2.6089,0.1022,0.1308,0.3989,9.6908,0.373,1.3797,-0.2093,0.4792,23.5675,0.7098,6.851,62.2724,59.2133,,57.142,33.2892
14,2021,0.4775,2.7143,1.7838,0.0747,0.1119,0.2661,5.7768,0.601,0.6345,-0.213,0.2978,23.3151,-0.3095,4.5041,65.1969,63.336,68.4135,69.4536,39.7347
14,2022,0.4462,3.0814,2.0218,0.0709,0.114,0.2871,18.66,0.6476,0.9926,0.1371,0.2968,23.5728,0.0572,3.6228,57.4815,,57.0993,42.7738,27.0876
14,2023,0.3467,2.1701,1.8189,0.1017,0.1737,0.3323,12.0321,0.6672,0.4558,0.0857,0.4044,22.9347,-0.0377,3.2884,44.8664,40.6977,45.4983,49.5871,19.0628
15,2020,0.5256,1.42,1.0601,0.082,0.1644,0.2075,7.1097,0.7642,0.3884,0.1887,0.2612,22.3741,0.1097,2.5034,40.0562,35.7609,41.4906,40.2277,39.2467
15,2021,0.2914,2.88,2.3905,0.0809,0.1073,0.2854,4.1791,0.4094,1.3001,0.0705,0.4959,22.6932,0.095,7.3868,47.6648,,57.019,50.521,31.629
15,2022,0.2768,1.8716,1.3792,0.0387,0.0462,0.4961,10.7521,0.3124,0.4178,0.2994,0.4284,22.8769,0.058,4.0596,72.0868,64.4178,82.9668,73.8596,21.2912
15,2023,0.3951,1.5655,0.9768,0.0591,0.1226,0.3924,2.5796,0.4344,0.365,0.2555,0.4734,22.6548,0.3365,1.8687,40.9083,38.9413,47.3312,41.378,40.5383
16,2020,0.7267,0.6556,0.4375,-0.0233,-0.104,0.2394,3.3119,0.6926,0.1095,-0.0464,0.533,21.9392,-0.3347,1.3498,46.5842,44.4667,53.7882,50.0982,58.0561
16,2021,0.5231,1.4004,1.131,0.022,0.0516,0.3764,2.0103,0.3796,0.2919,-0.1438,0.4503,21.7084,-0.2794,3.609,51.2692,50.3291,,56.7495,59.8962
16,2022,0.482,0.6288,0.4382,-0.0161,-0.0325,0.1493,0.8748,0.2532,0.1319,-0.3214,0.3914,23.2344,-0.2965,2.6434,39.6908,36.7945,43.8431,44.9306,55.1057
16,2023,0.7085,0.628,0.479,0.0545,0.1881,0.456,3.238,0.5814,0.1368,0.2899,0.4569,21.5782,-0.117,1.3305,20.5192,30.7685,18.7577,8.5441,63.5351
17,2020,0.392,1.7239,1.0343,0.0788,0.1345,0.2558,10.0811,0.4374,0.4358,-0.0724,0.3248,22.6466,-0.2296,3.3679,40.4836,42.5787,41.0853,43.9577,33.3458
17,2021,0.7491,0.9198,0.6162,0.0753,0.3013,0.4532,2.6767,0.275,0.3482,-0.1965,0.466,22.3461,0.0264,2.3762,43.3829,46.0216,44.296,43.7869,62.4938
17,2022,0.3905,2.2616,1.8134,0.0731,0.1357,0.4541,8.8435,0.5654,0.5071,0.0976,0.4903,22.5777,-0.0006,3.5443,68.4334,69.1447,67.4863,68.5156,36.4021
17,2023,0.2877,2.1515,1.7907,0.0523,0.0728,0.1479,1.7561,0.4702,0.9928,-0.1621,0.5125,23.4129,-0.1056,3.3901,59.8345,66.0105,52.2808,,35.4357
18,2020,0.4953,1.6417,1.0627,-0.0012,0.0324,0.3563,1.0244,1.0729,0.5142,0.0474,0.5055,22.9341,0.1792,2.0054,34.1784,42.3454,34.0126,30.1084,58.9272
18,2021,0.5213,1.3829,0.8322,0.0454,0.0957,0.168,1.416,0.5687,0.2572,-0.067,0.5804,19.9226,-0.1031,3.7301,26.0826,29.5017,32.1185,25.3883,56.1708
18,2022,0.3884,1.5742,0.8769,0.0183,-0.0041,0.1927,2.0459,0.6938,0.3081,0.2101,0.4324,22.3915,0.2578,2.1192,28.4269,25.1559,25.946,41.3207,44.1047
18,2023,0.8409,1.463,0.8606,-0.022,-0.1252,0.2834,1.5859,0.545,0.2736,0.1867,0.4256,21.7013,-0.0689,2.1893,42.1904,43.1556,46.4123,42.5245,83.8124
19,2020,0.4516,2.1783,1.7441,0.0952,0.1813,0.2225,5.542,0.4321,0.9179,0.3118,0.4247,21.9738,0.0971,2.0831,50.954,55.0465,44.7183,55.9597,35.4857
19,2021,0.4813,1.78,1.2224,0.0638,0.1237,0.3493,3.4026,0.4516,0.6158,0.1413,0.3649,23.6483,-0.052,4.785,83.9976,79.2335,70.1552,87.4575,35.271
19,2022,0.3222,1.6185,1.0318,0.1241,0.1778,0.2518,5.2029,0.8457,0.3679,-0.018,0.3851,24.7562,0.1386,2.3625,58.8346,57.7896,60.5653,52.8718,17.5717
19,2023,0.3159,2.4642,1.9287,0.0818,0.0773,0.3451,7.09,0.7402,0.5188,-0.0575,0.2859,22.8958,0.3067,5.399,73.5401,75.7895,,69.3753,35.5145
20,2020,0.5434,1.3828,1.0897,0.0643,0.102,0.4334,3.4278,0.3026,0.3368,0.0177,0.3162,23.2242,0.0004,6.6309,45.0587,34.9195,41.9885,47.2419,44.6434
20,2021,0.2276,2.2419,1.4766,0.0931,0.1534,0.3186,3.5767,0.3331,0.6947,0.4428,0.467,21.2035,0.1857,1.8788,51.2033,50.4952,53.8349,53.1563,23.2683
20,2022,0.2974,2.0345,1.6692,0.0008,-0.0105,0.2509,2.5751,0.3405,0.4701,0.0385,0.4876,21.566,-0.1479,0.631,51.558,57.3245,56.6358,43.7891,47.4905
20,2023,0.4239,1.2572,0.8661,0.0244,0.0617,0.3237,1.6932,0.8387,0.3792,0.104,0.3461,23.2284,0.2318,4.5825,56.2033,51.8353,65.9793,,36.2351
21,2020,0.622,1.715,1.0776,0.0202,0.0213,0.1564,5.9793,0.2746,0.5006,0.3564,0.4706,22.1931,-0.0902,2.2911,55.5189,58.2218,48.712,52.7827,55.4117
21,2021,0.4012,1.9359,1.5873,-0.0208,-0.0556,0.2046,10.237,0.7517,0.7789,0.126,0.3772,21.6159,0.2631,1.7628,54.9196,62.8009,54.322,47.9502,48.4093
21,2022,0.4927,1.884,1.1226,0.0769,0.1652,0.2508,7.6451,0.6436,0.3299,-0.0452,0.4118,22.8933,0.0805,2.0251,54.0635,52.3201,51.5998,49.3054,47.7952
21,2023,0.4741,1.7275,1.4663,0.018,0.0323,0.3338,3.775,0.582,0.6025,0.1944,0.5504,21.7067,0.4029,2.2091,47.824,46.9959,47.3591,46.5704,51.6912
22,2020,0.6672,1.0349,0.7596,0.0478,0.1544,0.2759,1.6641,0.4542,0.3131,-0.0377,0.5252,21.2306,-0.3034,5.1997,,35.238,34.9065,47.3768,63.9683
22,2021,0.2935,1.9771,1.6303,0.0319,0.0449,0.2869,2.0452,0.8829,0.8842,0.0908,0.5249,22.1843,-0.385,2.9445,34.1409,27.0879,,39.5184,30.3964
22,2022,0.5723,1.2451,0.7516,0.0499,0.1125,0.2554,5.5421,0.5743,0.3112,0.15,0.5949,21.0826,-0.1395,5.1645,37.4065,40.1719,38.4445,43.4607,55.0074
22,2023,0.438,1.3151,0.8768,0.0244,0.0298,0.1975,0.8314,0.308,0.344,-0.0205,0.3753,21.5211,-0.3147,3.4803,37.9816,36.9031,47.4224,40.4894,45.9945
23,2020,0.5051,2.3292,1.8912,0.0546,0.0865,0.4682,5.0758,0.3381,0.5545,0.1678,0.2869,23.8166,-0.2089,2.3289,62.0495,63.5182,60.9154,63.9992,34.5337
23,2021,0.2778,2.7098,2.1709,0.0805,0.1396,0.272,9.8554,0.2842,1.0704,0.4228,0.3075,24.4801,0.293,2.2363,45.8492,57.2159,39.5393,48.6844,16.8874
23,2022,0.3742,2.5285,2.052,0.1121,0.2104,0.3836,3.5802,0.887,0.9581,0.0331,0.3338,24.939,0.1543,3.5995,,56.8876,,56.8573,27.5701
23,2023,0.3677,2.1605,1.37,0.078,0.1025,0.3274,8.4017,0.9702,0.6863,0.3745,0.1742,23.2316,0.022,4.0968,,61.3736,,82.3685,21.392
24,2020,0.3118,1.2294,0.9039,0.0279,0.0184,0.3372,4.9123,0.8475,0.4336,-0.0197,0.3969,23.3941,-0.0363,4.4745,36.9744,36.9184,34.1642,35.923,36.5137
24,2021,0.3334,2.2836,1.5229,-0.0159,-0.0308,0.184,1.0124,0.5183,0.8473,0.3629,0.4179,20.9596,-0.1657,2.3851,50.5004,66.1907,48.0777,39.6998,45.5352
24,2022,0.3987,0.9588,0.6196,0.039,0.0717,0.3546,3.1611,0.3102,0.3452,-0.0941,0.5028,23.5182,0.4304,2.9672,42.5136,29.6477,44.7952,48.7108,39.1694
24,2023,0.4902,1.8694,1.3198,0.0167,0.0291,0.3846,2.0853,0.36,0.4721,-0.0104,0.4677,21.1648,-0.165,3.6401,56.0149,,57.2349,63.6797,48.5535
25,2020,0.4191,2.3439,1.7919,0.0091,0.0257,0.313,2.6844,0.3695,0.5624,0.2953,0.4282,22.3259,-0.3705,2.2435,50.4462,46.5725,50.6413,54.432,45.2609
25,2021,0.4501,1.6444,1.1602,0.0163,0.0287,0.2583,3.8311,0.5389,0.6663,0.3235,0.5031,21.1856,0.1916,1.5412,,35.373,40.8971,37.2949,56.463
25,2022,0.247,1.9492,1.2069,0.0106,0.0118,0.2057,3.2803,0.956,0.6029,0.1922,0.513,23.3374,-0.0602,1.8164,,43.948,43.9197,39.1767,31.2998
25,2023,0.4311,1.8278,1.448,0.0392,0.1171,0.5096,3.0018,0.9545,0.8541,-0.1392,0.3829,22.4355,0.5206,2.4097,,56.2672,76.9855,53.319,41.5564
26,2020,0.5842,1.7128,1.4445,0.0611,0.1364,0.1898,4.3241,0.4514,0.6124,0.0939,0.3815,21.6671,-0.083,3.7852,54.8927,62.1703,55.561,56.8193,49.9177
26,2021,0.5672,2.4719,1.6286,0.0912,0.2435,0.338,1.4645,0.2243,0.9557,0.0589,0.2633,21.614,0.2274,5.1013,50.2541,50.4692,43.6034,,44.2572
26,2022,0.4784,1.2303,0.9901,0.0479,0.1208,0.2769,2.5879,0.3441,0.29,-0.1071,0.3658,22.3974,0.2676,1.3799,43.3917,38.473,43.736,,37.5194
26,2023,0.5038,1.2371,1.0011,0.0817,0.1748,0.2559,1.8917,0.8829,0.4571,0.187,0.3791,22.936,-0.1099,2.0164,45.8949,48.3937,44.0438,46.7279,44.4757
27,2020,0.2915,2.1133,1.3275,0.0459,0.0262,0.339,10.4067,0.6021,0.5627,-0.0175,0.3836,23.3752,-0.068,2.2729,66.404,68.5118,49.4654,66.1339,21.9748
27,2021,0.6468,2.332,1.776,0.0042,0.0124,0.2461,6.232,0.476,0.4457,-0.1403,0.3324,22.7992,0.2545,4.0445,45.328,42.2539,38.0329,54.1031,47.2874
27,2022,0.7033,1.3431,1.1168,0.0523,0.1661,0.3314,6.2828,0.4629,0.3546,-0.1988,0.366,23.3917,0.2145,2.0875,39.9822,45.745,35.9203,40.6664,48.8661
27,2023,0.4294,2.2068,1.7035,0.0917,0.1612,0.3435,14.5564,0.4064,0.5174,0.4232,0.287,23.3753,-0.2467,2.1927,59.9501,67.6215,62.2983,53.5736,26.6563
28,2020,0.7689,1.9355,1.0819,0.075,0.3032,0.5359,3.4956,0.3391,0.2935,0.0031,0.4187,21.7941,-0.2082,1.3418,54.0949,54.5485,56.6313,47.7806,52.8501
28,2021,0.328,2.4259,1.7742,0.0981,0.1612,0.4044,3.4919,1.2571,1.0323,0.0199,0.4261,22.4653,-0.5393,3.4615,,62.5623,46.4531,55.5506,24.5953
28,2022,0.2657,2.5368,1.9877,-0.0203,-0.0079,0.3445,3.5556,1.0913,1.1685,-0.0875,0.4341,23.0856,0.2278,2.5075,53.3318,52.9758,53.3088,50.7836,39.2435
28,2023,0.3232,2.6921,1.9799,0.0999,0.171,0.3606,1.8713,0.395,1.1129,0.355,0.3922,24.1059,0.0306,1.9601,,53.9733,30.1279,50.6676,26.4497
29,2020,0.4153,1.9956,1.1148,0.0581,0.0918,0.4507,1.548,0.2721,0.6645,-0.1633,0.2916,23.9052,0.0176,2.3875,72.9446,77.7664,62.6918,77.4154,37.1922
29,2021,0.726,1.4087,0.8256,0.011,0.0188,0.2131,6.5353,0.5872,0.4464,-0.1163,0.3499,23.5736,-0.3401,4.7755,59.1448,54.8006,61.4209,55.8932,49.7249
29,2022,0.3925,2.0328,1.6069,0.0772,0.1341,0.281,1.8921,0.5174,0.926,0.0395,0.3699,23.1143,-0.1966,1.6447,44.7754,45.8788,40.6083,47.6373,35.4942
29,2023,0.3354,1.8163,1.2649,0.0515,0.1126,0.1108,1.972,0.7056,0.4037,0.0785,0.3853,23.1518,-0.0657,1.7846,50.0102,38.4429,60.4272,56.5768,38.5012
30,2020,0.3355,2.9346,2.4574,0.0553,0.0846,0.3284,3.3867,0.7725,0.8353,0.1966,0.4279,21.9246,-0.1211,5.0841,48.7374,49.3678,44.7944,60.9987,29.9266
30,2021,0.56,1.6459,1.1101,0.0941,0.2228,0.3882,3.939,0.3437,0.6125,-0.0098,0.5022,23.0776,0.1304,2.8232,66.0361,67.7061,59.0614,,38.6861
30,2022,0.5601,1.9588,1.5602,0.0677,0.1491,0.2067,7.346,0.9158,0.6519,0.3743,0.4687,22.1988,0.2219,3.7995,49.2307,52.2701,50.8707,43.0937,49.8309
30,2023,0.3794,1.3216,0.7409,0.0045,-0.0028,0.4154,4.0485,0.4765,0.3712,-0.0342,0.3348,21.6376,0.6273,3.323,44.7825,42.1683,47.9607,39.0649,43.2347
31,2020,0.0794,2.9317,2.3521,0.1041,0.1262,0.3209,6.5359,0.6999,1.0506,0.0041,0.3686,25.0909,0.214,2.6707,68.0018,61.4781,69.3416,68.3202,10.0919
31,2021,0.1545,2.7838,2.2485,0.0709,0.0817,0.3732,22.7146,0.4943,0.8027,0.0053,0.3472,25.3765,0.5273,2.2838,71.3531,68.6046,72.5461,61.2654,14.7759
31,2022,0.5863,2.3439,1.5438,0.1082,0.2696,0.3636,11.7751,0.7937,0.5398,0.0136,0.2826,24.6533,-0.0409,4.1197,59.7351,63.0986,53.7467,64.8248,37.0586
31,2023,0.438,2.6029,1.6732,0.1377,0.2552,0.5081,3.6683,0.2133,0.8565,-0.0457,0.4033,24.7988,-0.2333,4.8606,48.58,41.346,52.0883,50.7731,27.8027
32,2020,0.4995,2.1024,1.7302,-0.0127,-0.0185,0.1686,3.0335,0.7374,0.7548,0.181,0.4413,21.9425,-0.0927,4.6744,47.4058,42.8475,55.8029,48.6958,52.4803
32,2021,0.691,2.0554,1.61,0.0258,0.0947,0.3078,2.4276,0.3935,0.605,-0.0986,0.3056,22.9804,-0.3469,1.5027,52.6711,54.4353,45.3928,51.8308,53.9425
32,2022,0.7239,1.3483,0.9835,0.0089,0.0151,0.3337,2.0023,0.5652,0.4583,0.04,0.4725,22.1121,0.0279,5.2198,41.9765,44.877,33.236,51.8644,59.2183
32,2023,0.4559,1.3623,0.9276,0.0261,0.0297,0.3224,10.315,0.9029,0.3682,-0.1141,0.4462,22.6365,-0.1592,2.2728,53.1796,49.8041,55.4295,49.4053,45.2006
33,2020,0.499,1.1541,0.9505,0.0317,0.0625,0.2918,2.579,0.398,0.3957,-0.1741,0.4445,20.9794,-0.5069,1.8636,44.721,42.6579,44.9247,50.8183,49.3157
33,2021,0.4252,1.6964,1.3133,0.0063,0.0105,0.3061,2.1073,0.3738,0.6399,0.2368,0.4594,21.8629,0.4162,2.4976,60.7321,48.6203,68.8531,61.5031,41.0265
33,2022,0.4357,1.7669,1.1928,0.0532,0.0839,0.2112,3.1964,0.4729,0.4894,0.3496,0.3814,22.619,-0.1146,4.1188,59.234,57.3954,65.8721,48.4888,30.5805
33,2023,0.2865,1.951,1.3638,0.0621,0.0919,0.4072,4.8412,0.4612,0.7944,0.2837,0.4935,21.42,-0.399,3.5617,45.0547,45.885,48.6968,49.9832,27.7927
34,2020,0.2952,1.577,0.9139,0.0586,0.1013,0.2375,1.741,0.3606,0.3837,-0.2173,0.449,21.8274,0.2226,2.3924,40.8781,47.4468,43.9583,39.3675,27.5422
34,2021,0.2783,2.32,1.8402,-0.0146,0.0035,0.2145,1.7271,0.5726,1.0796,-0.2034,0.4768,21.044,-0.2018,4.1323,28.6542,27.92,22.7239,,40.4489
34,2022,0.6348,0.7701,0.618,0.0647,0.2053,0.3648,3.7767,0.5847,0.3379,0.3996,0.4851,21.2754,0.2641,2.9152,39.4987,32.0564,39.3826,46.3066,54.954
34,2023,0.293,1.5223,0.9997,0.066,0.067,0.1849,1.007,0.6605,0.5617,-0.0041,0.366,20.7571,-0.1947,2.0412,30.3217,37.1201,24.5345,30.1531,42.4893
35,2020,0.6525,1.3809,0.8878,0.1171,0.3136,0.3513,10.1667,0.3954,0.4591,-0.125,0.306,24.4469,-0.0173,1.9079,63.3415,68.3242,60.9599,63.1215,35.5549
35,2021,0.3036,2.1496,1.3449,0.066,0.089,0.2578,2.151,0.3762,0.6208,0.3177,0.2003,24.2964,0.2049,3.3372,51.3375,48.7804,51.9905,58.2217,25.2893
35,2022,0.6681,2.076,1.2498,0.0263,0.081,0.5132,3.3789,0.5234,0.5455,0.0986,0.4587,23.073,0.2087,2.6084,57.8396,60.2833,54.0094,56.787,59.0099
35,2023,0.406,1.7202,1.4352,0.0137,0.0183,0.4849,1.3656,0.4976,0.6359,0.1796,0.3259,24.0137,0.2375,1.3665,48.3761,64.1284,40.2487,45.101,26.5064
